Company,Permno,IpoDate
CONTINUOS CURVE LENS,26957.0,1977-02-01
ST JUDE MEDICAL,68591.0,1977-02-09
JHIRMACK ENTERPRISES,46608.0,1977-03-24
JENN-AIR,46520.0,1977-04-14
TESDATA SYSTEMS,75636.0,1977-04-27
AMERICAN CLIPPER,12678.0,1977-05-12
HOP-IN FOOD STORES,42490.0,1977-06-16
GEOSOURCE,60089.0,1977-06-21
HARPER GROUP,41014.0,1977-06-22
TPC COMMUNICATION,74385.0,1977-07-27
TRI-AMERICAN CORPORATI,77148.0,1977-09-14
NEW ENGLAND BUSINESS SERVICE,57286.0,1977-10-05
CENTURY 21 REAL ESTATE,22358.0,1977-10-11
PAIN CONTROL CENTERS,60901.0,1977-11-23
JLG INDUSTRIES,46149.0,1977-12-14
TANDEM COMPUTERS,74617.0,1977-12-14
TELENET,75300.0,1977-12-21
SUNTEC SYSTMS,73569.0,1978-04-11
FEDERAL EXPRESS CORP,60628.0,1978-04-12
EMPLOYEE BENEFITS,32513.0,1978-04-25
GENRAD,62260.0,1978-06-08
PARADYNE CORP,60994.0,1978-07-11
MOUNTAIN HIGH,50607.0,1978-07-13
CHERRY ELECTRICAL PROD,23115.0,1978-08-02
CULLINANE,64207.0,1978-08-02
RANDAL DATA SYSTEMS,65681.0,1978-08-21
EVANS & SUTHERLAND,33612.0,1978-09-07
NUCLEAR METALS,58799.0,1978-09-19
COLOR TILE,24716.0,1978-09-20
OIL BASE,59169.0,1978-09-21
FLOATING POINT SYSTEM,63589.0,1978-09-28
ROBINSON NUGENT,67300.0,1978-10-18
SCIENTIFIC TIME SHAR,68305.0,1978-10-19
XIDEX,83855.0,1978-10-26
AVANTEK,16011.0,1978-11-16
COMPACT VIDEO SYSTEMS,25508.0,1978-12-05
L LURIA & SON,62316.0,1978-12-06
PETROLEUM EQUIP TOOLS,62360.0,1978-12-13
RAMTEK,65622.0,1978-12-14
NATL RAILWAYS UTILIZ,56646.0,1978-12-19
AUTO-TROL TECHNOLOGY,15820.0,1979-01-24
BANK OF NEW HAVEN,85746.0,1979-01-24
PICCADILLY CAFETERIAS,62907.0,1979-01-30
VERBATIM,63394.0,1979-02-15
BROOKWOOD HEALTH SERV.,19482.0,1979-03-06
OIL CITY PETROLEUM,59177.0,1979-03-15
WESTERN PACIFIC RR,61073.0,1979-03-28
SAFETY-KLEEN,65066.0,1979-04-03
UNIT DRILLING,63781.0,1979-04-06
TELECO OILFIELD SERV.,75062.0,1979-04-17
UNITED TELECOM.,39087.0,1979-04-24
AMER. MGMT. SYSTEMS,13304.0,1979-04-27
STRYKER,73139.0,1979-05-02
BIOMED. REF. LABS,18076.0,1979-05-04
BRAE,19020.0,1979-05-04
PETX PETROLEUM,60418.0,1979-05-22
SYMBOL TECHNOLOGIES,73940.0,1979-06-01
ATLANTIC RESEARCH,15676.0,1979-06-07
TOPAZ,63028.0,1979-06-14
PRINTRONIX,64195.0,1979-06-26
NICKLOS OIL & GAS,57614.0,1979-06-27
ANTENNAS FOR COMM.,14454.0,1979-07-03
"SANDERS, RC TECH.",68807.0,1979-07-17
DEPENDABLE INSUR. GRP.,29480.0,1979-07-19
APPLIED SOLAR ENERGY,14737.0,1979-08-06
WALBAR,61225.0,1979-08-07
UNITED PETROSEARCH,78888.0,1979-08-23
RICHMOND TANK CAR,62041.0,1979-08-28
SHOPSMITH,70440.0,1979-09-12
SPECTRADYNE,72056.0,1979-09-27
WESPERCORP,64127.0,1979-10-03
INFORMATICS,64266.0,1979-10-04
THOMPSON MEDICAL,62754.0,1979-10-04
VALLEN,80013.0,1979-10-09
BIOMETRICS,18105.0,1979-10-10
HAEMONETICS,40716.0,1979-10-16
KEVEX,47555.0,1979-10-16
BIO-RESPONSE,18025.0,1979-10-17
SPECIALIZED SYSTEMS,72040.0,1979-11-20
LIFE INSTRUMENTS,49462.0,1979-11-29
THE EXPLORATION CO.,33815.0,1979-11-29
ADAC LABS,10752.0,1979-12-05
EMPIRE OF CAROLINA,61540.0,1979-12-06
TIE / COMMUNICATIONS,61866.0,1979-12-06
NBI,63693.0,1979-12-12
THOUSAND TRAILS,76102.0,1979-12-12
HARKEN OIL & GAS,40970.0,1979-12-13
TRIAD SYSTEMS,77228.0,1979-12-18
BIOCHEM INTERNATIONAL,18060.0,1979-12-19
MOXA ENERGY,55432.0,1979-12-20
PYRO-MAGNETICS,64849.0,1980-01-30
PASSPORT TRAVEL,61400.0,1980-02-13
BLOCKER ENERGY,62519.0,1980-02-28
ANTHEM ELECTRONICS,64397.0,1980-03-04
CADO SYSTEMS,20590.0,1980-03-11
SILTEC,70667.0,1980-03-11
DIMIS,30091.0,1980-03-13
RADIOGRAPHIC,65489.0,1980-03-13
GEOKINETICS,38790.0,1980-04-30
EMPIRE AIRLINES,32425.0,1980-05-08
CORCOM,27239.0,1980-05-20
SCI-TEX,78361.0,1980-05-20
Gulf Canada Ltd,32491.0,1980-05-21
UP-RIGHT,79696.0,1980-05-21
NITRON,78330.0,1980-05-29
ENZO BIOCHEM,33209.0,1980-06-12
INT'L CAP'L EQUIP,78303.0,1980-06-12
BROCK HOTEL,63482.0,1980-06-17
PARAHO DEVELOPMENT,61210.0,1980-06-17
ANDREW,14323.0,1980-06-19
GENERAL NUTRITION,62244.0,1980-06-19
TECHNODYNE,66106.0,1980-06-19
MAGNUSON COMPUTER,50981.0,1980-06-25
GOODY PRODUCTS,39432.0,1980-07-02
TYLAN,77682.0,1980-07-09
GENERAL DEFENSE,63183.0,1980-07-11
TELLABS,75257.0,1980-07-15
OPTIMUM HOLDING,59847.0,1980-07-16
APPLICON,14673.0,1980-07-22
AMERICAN GASAHOL,41874.0,1980-07-23
ADVANCED SYSTEMS,65840.0,1980-07-24
GAMMA BIOLOGICALS,38157.0,1980-07-31
MONOLITHIC MEMORIES,55053.0,1980-08-06
SERVICE FRACTURING,70114.0,1980-08-12
BANCTEC,16564.0,1980-08-20
SYSTEM INDUSTRIES,74123.0,1980-09-05
ISC SYSTEMS,43407.0,1980-09-16
MID PACIFIC AIRLINES,53824.0,1980-09-16
SAT TEL ASSOC RESOURCES,68930.0,1980-09-18
OXYGEN ENRICHMENT,60258.0,1980-09-23
EAGLE EXPLORATION,31369.0,1980-09-24
INT'L POWER MACHINES,62631.0,1980-09-25
TACOMA BOATBLDG,62439.0,1980-09-30
BDM INTERNATIONAL,63896.0,1980-10-03
AM CABLE TV,10314.0,1980-10-07
TEAM,65752.0,1980-10-07
KLA INSTRUMENTS,46886.0,1980-10-08
GENENTECH,38280.0,1980-10-14
YANKEE OIL,63079.0,1980-10-15
XICOR,83863.0,1980-10-28
AMERICAN METALS,13390.0,1980-10-29
NETWORK SYSTEMS,57155.0,1980-11-03
HEALTH INFORMATION,41340.0,1980-11-06
PEOPLE EXPRESS,62069.0,1980-11-06
AMPECO,63431.0,1980-11-12
STEIGER TRACTOR,72849.0,1980-11-13
SECURITY AMERICA,69738.0,1980-11-20
ADVEST,64514.0,1980-11-21
SAXON OIL,68997.0,1980-11-26
MOVIE SYSTEMS,55424.0,1980-12-02
NIKE,57665.0,1980-12-02
SEA GALLEY,69543.0,1980-12-02
DRECO ENERGY,62535.0,1980-12-03
K-TRON,46931.0,1980-12-03
MIDWAY AIRLINES,53939.0,1980-12-04
BSD MEDICAL,16249.0,1980-12-09
APPLE COMPUTER,14593.0,1980-12-12
UNIV COMMUNICATION,62762.0,1980-12-15
C3,64725.0,1980-12-16
RATLIFF DRILLING,63757.0,1980-12-16
DECA ENERGY,29138.0,1980-12-17
DRILLERS,63562.0,1980-12-17
BELLWETHER,17559.0,1980-12-18
ZENTEC,84100.0,1980-12-18
DELMED,64215.0,1980-12-23
INTELLIGENT SYSTEMS,44600.0,1980-12-31
ISSC INDL SOLID ST CTL,43423.0,1981-01-06
MATRIX SCIENCE,51909.0,1981-01-07
NUTRI/SYSTEM,64469.0,1981-01-08
PARTNERS OIL,61357.0,1981-01-08
DIAGNOSTIC/RETRIEVAL,65226.0,1981-01-22
DYSAN,31131.0,1981-01-27
CHEM-TRONICS,22999.0,1981-01-29
SILICON SYSTEMS,70624.0,1981-01-29
ENTERPRISE RADIO,33065.0,1981-02-03
VERNA,63052.0,1981-02-03
SOUTH TEXAS DRILLING,63335.0,1981-02-04
INTER-TEL,44637.0,1981-02-05
RENAL DEVICES,66377.0,1981-02-05
TANDON,74625.0,1981-02-11
SCIENTIFIC LEASING,64485.0,1981-02-17
ELECTRO-BIOLOGY,31975.0,1981-02-18
FUNDSNET,37891.0,1981-02-18
NEW YORK AIR,57403.0,1981-02-20
NAHAMA & WEAGANT,55969.0,1981-02-24
C-COR ELECTRONICS,20125.0,1981-02-26
WILLIAMS ELECTRONICS,64135.0,1981-02-26
CONSOLIDATED PETROLEUM,26594.0,1981-03-04
AUTOCLAVE ENGINEERS,15828.0,1981-03-05
CETUS,22497.0,1981-03-06
DELTA DRILLING,29314.0,1981-03-17
SAGE DRILLING,68524.0,1981-03-17
TIMES FIBER,76305.0,1981-03-18
OBJECT RECOGNITION,58895.0,1981-03-19
DURALITH,30905.0,1981-03-24
HEI,40540.0,1981-03-24
INT'L INSTITUTE (MED),45154.0,1981-03-24
TECHNOLOGY MARKETING,74916.0,1981-03-24
SEI,68196.0,1981-03-25
EMULEX,32540.0,1981-03-26
INFOTRON SYSTEMS,44170.0,1981-03-26
VENTREX LABS,80486.0,1981-03-26
AMERICAN FIBER OPTICS,12854.0,1981-04-01
DELTA NATURAL GAS,29285.0,1981-04-01
STERLING PIPE & SUPPLY,72902.0,1981-04-01
INTERGRAPH,44792.0,1981-04-07
ULTIMATE CORPORATION,63386.0,1981-04-07
EIL INSTRUMENTS,31203.0,1981-04-08
GERBER SYSTEMS,38894.0,1981-04-08
KENCOPE ENERGY,47408.0,1981-04-08
MANAGEMENT SCIENCE,51204.0,1981-04-08
PRAIRIE PRODUCING,65031.0,1981-04-08
EXPLORATION SURVEYS,63159.0,1981-04-09
INTERMAGNETICS GENERAL,44821.0,1981-04-13
COMPUTER MAGNETICS,25946.0,1981-04-14
BIW CABLE SYSTEMS,16206.0,1981-04-15
COMPUTER ENTRY,25882.0,1981-04-15
INTERTEC DATA,63642.0,1981-04-16
PIZZA TIME THEATRE,63213.0,1981-04-16
SILICON ELECTRO-PHYSIC,70608.0,1981-04-16
DORADO MICRO SYSTEMS,59695.0,1981-04-21
GREATWEST HOSPITALS,63968.0,1981-04-22
SWIFT INDEPENDENT,64119.0,1981-04-22
DAWSON GEOPHYSICAL,29050.0,1981-04-23
ENERSERV PRODUCTS,63570.0,1981-04-23
ENS BIOLOGICALS,78404.0,1981-04-23
TELESPHERE INT'L,64813.0,1981-04-23
CHILDREN'S PLACE,23262.0,1981-04-28
CRAWFORD ENERGY,63124.0,1981-04-28
IKE LOVELADY,50201.0,1981-04-29
NELSON RESEARCH,57075.0,1981-04-30
DATA I/O,28629.0,1981-05-05
WOMETCO CABLE TV,83417.0,1981-05-05
NORPAC EXPLORATION SERVICES,57841.0,1981-05-06
AMERICAN DIAGNOSTICS,12750.0,1981-05-07
VIRATEK,80929.0,1981-05-07
ADVANCED SEMICONDUCTOR MAT,11077.0,1981-05-12
INTERFERON SCIENCES,44928.0,1981-05-12
INTERPHARM LABS,78307.0,1981-05-12
IPL SYSTEMS,43327.0,1981-05-12
READING AVIATION,73243.0,1981-05-12
CABLE TV INDUSTRIES,20467.0,1981-05-13
INPUT BUSINESS MACH'S,44346.0,1981-05-13
MOUNTAIN MEDICAL EQUIP,63247.0,1981-05-13
NOVAR ELECTRONICS,58500.0,1981-05-13
ASTRO DRILLING,63888.0,1981-05-14
THORATEC LABS,76100.0,1981-05-14
SKIPPER'S,70843.0,1981-05-19
BALCO ENERGY,16433.0,1981-05-20
SEVEN OAKS INT'L,70106.0,1981-05-22
RIBI IMMUNOCHEM,66836.0,1981-05-27
CIBOLA ENERGY,23422.0,1981-05-28
ULTRA-SYSTEMS,77914.0,1981-05-28
UNITEL VIDEO,65103.0,1981-05-28
BARTON VALVE,17014.0,1981-06-02
DETECTOR ELECTRONICS,29568.0,1981-06-02
BONRAY DRILLING,18738.0,1981-06-04
KIMBARK OIL & GAS,47723.0,1981-06-04
L.B. FOSTER,37402.0,1981-06-09
LIZ CLAIBORNE,49905.0,1981-06-09
SOFTWARE AG,71037.0,1981-06-09
DREYER'S ICE CREAM,30780.0,1981-06-11
S.A.L. CABLE COMMUNIC.,68180.0,1981-06-12
GEOPHYSICAL SYSTEMS,38747.0,1981-06-17
KLOSS VIDEO,47942.0,1981-06-17
ALPHA MICROSYSTEMS,12117.0,1981-06-18
OCILLA INDUSTRIES,59011.0,1981-06-18
KYLE TECHNOLOGY,48187.0,1981-06-19
MICOM SYSTEMS,53429.0,1981-06-19
FAFCO,33911.0,1981-06-23
FIRST MATAGORDA,35968.0,1981-06-23
ROLFITE COMPANY,67521.0,1981-06-24
TEMPLETON ENERGY,75409.0,1981-06-24
UNITED MEDICAL,63810.0,1981-06-25
HBO & COMPANY,40484.0,1981-06-30
ALLEGHENY & WESTERN,11835.0,1981-07-01
KELLY-JOHNSTON ENTERPR,47352.0,1981-07-01
LIEBERT,49411.0,1981-07-01
ZONIC,84233.0,1981-07-02
UNIVERSAL HEALTH SVCS.,79637.0,1981-07-09
ODETICS,66667.0,1981-07-14
COMAIR,24935.0,1981-07-16
OMNICARE,63714.0,1981-07-16
AMPLICA,14112.0,1981-07-22
COMTEX SCIENTIFIC,26287.0,1981-07-22
BIOSEARCH MEDICAL,18121.0,1981-07-24
BEDFORD COMPUTER,17356.0,1981-07-28
GREAT EASTERN ENERGY,39854.0,1981-07-28
ICO,64258.0,1981-07-29
SEIS PROS,63327.0,1981-07-30
MONOCLONAL ANTIBODIES,55037.0,1981-08-04
GEOPHYSICAL FIELD SURV,38819.0,1981-08-05
PACO PHARMACEUTICAL,60856.0,1981-08-05
PANSOPHIC SYSTEMS,68611.0,1981-08-05
TECHAMERICA GROUP,63378.0,1981-08-06
SYSTEMATICS,74150.0,1981-08-12
BELL PETROLEUM,17516.0,1981-08-13
GREAT OUTDOOR AM ADVEN,12432.0,1981-08-18
SOUTHERN MEDIC & PHARM,71459.0,1981-08-18
INTEGRITY FIN'L GROUP,44362.0,1981-08-19
NCA,55750.0,1981-08-27
SOFTECH,71002.0,1981-08-27
JEFFERSON-WILLIAMS,46464.0,1981-09-01
STAN WEST MINING,72371.0,1981-09-01
BOLT TECHNOLOGY,18650.0,1981-09-02
CARDILLO TRAVEL SYSTMS,63490.0,1981-09-10
DATA MEASUREMENT,10969.0,1981-09-15
PRAB ROBOTS,63758.0,1981-09-17
HOME DEPOT,66181.0,1981-09-22
SWITCHCO,73892.0,1981-09-22
CYCARE SYSTEMS,28143.0,1981-09-23
SEAGATE TECHNOLOGY,69607.0,1981-09-24
ASK COMPUTER SYSTEMS,10429.0,1981-10-01
CORVUS SYSTEMS,27370.0,1981-10-02
CIPHER DATA PRODUCTS,23529.0,1981-10-06
RIO GRANDE DRILLING,64098.0,1981-10-14
VECTOR GRAPHIC,80419.0,1981-10-14
CARL KARCHER,47133.0,1981-10-15
PIZZA VENTURES,63221.0,1981-10-15
SIPPICAN OCEAN SYSTEMS,70827.0,1981-10-15
GARCIA'S OF SCOTTSDALE,38173.0,1981-10-16
INSITUFORM EAST,44266.0,1981-10-20
DATAPOWER,28813.0,1981-10-21
INT'L GAME TECHNOLOGY,45277.0,1981-10-22
COLLAGEN,24556.0,1981-10-23
FONAR,37154.0,1981-10-23
KENTUCKY HORSE CENTER,47491.0,1981-10-23
HORNBECK OFFSHORE SVS,42578.0,1981-10-28
HYBRITECH,43020.0,1981-10-28
SEISDATA SERVICES,69914.0,1981-10-28
DALE ELECTRONICS,63538.0,1981-10-29
NAUGLE'S,56953.0,1981-10-29
UNITED CABLE TV DENVER,78482.0,1981-10-29
METRO AIRLINES,53306.0,1981-10-30
COMPUTONE SYSTEMS,25770.0,1981-11-04
GULF NUCLEAR,40425.0,1981-11-04
INSTACOM,44282.0,1981-11-04
PETROSYSTEMS,45525.0,1981-11-04
BRACKEN EXPLORATION,18957.0,1981-11-05
HINDERLITER ENRGY,63618.0,1981-11-05
MONCHIK-WEBER,54907.0,1981-11-10
COM SYSTEMS,24898.0,1981-11-17
SYSCON,74051.0,1981-11-17
VISUAL TECHNOLOGY,81091.0,1981-11-17
COMMUNICATIONS SYSTEMS,25452.0,1981-11-18
ALEXANDER ENERGY,11704.0,1981-11-19
UNITED STATIONERS,79303.0,1981-11-24
UNIMATION,78175.0,1981-11-25
EIKONIX,31721.0,1981-12-02
HEALTHDYNE,41356.0,1981-12-08
A.H. BELO,65509.0,1981-12-09
COMPUTER ASSOCIATES,25778.0,1981-12-09
GANDALF TECHNOLOGY,78425.0,1981-12-09
H&H OIL TOOL,40476.0,1981-12-09
ADVANCED FUEL SYSTEMS,10816.0,1981-12-10
AVIATION GROUP,16054.0,1981-12-10
HEALTH CARE & RETIRMNT,41284.0,1981-12-10
NUCLEAR SUPPORT SVS.,58641.0,1981-12-15
POLICY MANAGEMENT SYS.,63483.0,1981-12-16
SUMMIT OILFIELD,73374.0,1981-12-22
ESSEX,33567.0,1981-12-23
LEXIDATA,49307.0,1981-12-23
COMPUTER MEMORIES,25786.0,1982-01-07
ELAN PHARMACEUTICAL RESEARCH,31801.0,1982-01-19
INT'L ROBOMATION,45285.0,1982-01-21
GENERAL PRODUCTION,38528.0,1982-01-27
CRIME CONTROL,27706.0,1982-01-29
CSP INC,20336.0,1982-01-29
LTX CORP,48291.0,1982-02-02
TECH FOR COMM,74895.0,1982-02-02
EMC INSURANCE,31238.0,1982-02-04
VORTEC CORP,81227.0,1982-02-04
COLLABORATIVE,24548.0,1982-02-11
HOME HEALTH CARE,42324.0,1982-03-03
KASLER CORP,47141.0,1982-03-16
LAIDLAW IND,48443.0,1982-03-30
SYNTREX INC,74027.0,1982-03-30
CASTLE ENTERTAINMENT,21769.0,1982-04-02
GODFATHERS PIZZA,30278.0,1982-04-06
SPACE MICROWAVE,71918.0,1982-04-06
COMPUTER INPUT,25911.0,1982-04-22
REXON BUSINESS,66801.0,1982-04-22
UNITED BANKERS,78458.0,1982-04-22
DATASWITCH,28696.0,1982-04-27
TCA CABLE TV,74230.0,1982-04-30
COMMUN GROUP,25399.0,1982-05-06
CONVERGENT TECH,27036.0,1982-05-18
TECHNICOM INT'L,64661.0,1982-05-25
BPI SYSTEMS,16273.0,1982-06-03
DIAGNOSTIC PRODUCTS,29752.0,1982-06-08
MOLECULAR GENETICS,54798.0,1982-06-10
INTERMETRICS,44856.0,1982-06-29
MULTI-TECH,55547.0,1982-07-08
TERA CORP,75505.0,1982-07-08
RYAN'S FAMILY,68049.0,1982-07-13
SUPER SKY INT'L,73606.0,1982-07-20
ATLANTIC SE AIR,15684.0,1982-07-21
CPI CORP,20248.0,1982-07-29
FOSTER MEDICAL,37429.0,1982-08-05
ENVIRONMENTAL TESTING AND C,33508.0,1982-08-11
ELECTRONIC MAIL CORP OF AMER,32169.0,1982-08-17
UNIVERSAL MONEY,79522.0,1982-08-20
VICORP RESTAURANTS,80654.0,1982-08-26
FAMILY ENTERTAINMENT,34199.0,1982-09-01
NORTH FORK Bancorporation,58094.0,1982-09-02
ELECTRONIC THEATRE RESTAUR,32206.0,1982-09-09
ELECTRONICS CORP OF ISRAEL,78448.0,1982-09-15
PSYCH SYSTEMS,64611.0,1982-09-23
GENEX CORP,38691.0,1982-09-29
ON LINE SOFTWARE,59601.0,1982-09-29
BIOMET INC,18092.0,1982-10-01
TANO CORP,74641.0,1982-10-07
GOTT CORP,39475.0,1982-10-15
INTECOM INC,44485.0,1982-10-19
SIZZLER RESTAURANTS,70835.0,1982-10-26
MERRIMAC INDUSTRIES,53015.0,1982-10-29
SYSTEMS & COMPUTERS,74086.0,1982-11-02
AARON RENTS,10517.0,1982-11-04
ALTOS COMPUTERS,12192.0,1982-11-04
TACO VIVA,74561.0,1982-11-16
LEE DATA,49083.0,1982-11-18
TRIANGLE MICROWAVE,77252.0,1982-11-26
AREA COMMUNICATION,14876.0,1982-11-29
PATIENT TECH,67037.0,1982-12-01
QUALITY SYSTEMS,64961.0,1982-12-01
ARGOSYSTEMS,14905.0,1982-12-02
PAR TECHNOLOGY,61146.0,1982-12-03
DIONEX CORP,30147.0,1982-12-07
RAYMOND ENGINEERING,75879.0,1982-12-07
UNITED ED AND SFTWRE,78626.0,1982-12-07
HOGAN SYSTEMS,42084.0,1982-12-10
QUANTUM CORP,65024.0,1982-12-10
CENTOCOR INC,22016.0,1982-12-14
GD RITZY'S,67011.0,1982-12-14
NEWAIR FLIGHT,57497.0,1982-12-14
GENERAL PHYSICS,38520.0,1982-12-16
PERCEPTRONICS,62149.0,1982-12-16
FN FINANCIA,67504.0,1982-12-17
HARRIS & PAULSON,41049.0,1982-12-17
PHARMACONTROL,62472.0,1982-12-21
SIGMA RESEARCH,70595.0,1982-12-21
BIOSTIM,18279.0,1982-12-22
MGM/UA HOME ENTER,64610.0,1982-12-22
PHOENIX AMERICAN,62675.0,1982-12-22
LASER PHOTONICS,48785.0,1983-01-05
MED-CHEM PRODUCTS,52602.0,1983-01-11
QUALITY MICRO SYSTEMS,65032.0,1983-01-13
MID-STATE FEDERAL,53787.0,1983-01-20
POREX TECHNOLOGY,63635.0,1983-01-20
"COOPERVISION, INC.",65541.0,1983-01-21
"ROYALE AIRLINES, INC.",67871.0,1983-01-26
POLYMERIC RESOURCES,63555.0,1983-01-27
COOK DATA SERVICES,27087.0,1983-02-01
GALILEO ELECTRO-OPTIC,38085.0,1983-02-01
GUILFORD INDUSTRIES,40361.0,1983-02-02
"U.S. TELEPHONE, INC.",79258.0,1983-02-02
United States HEALTH CARE,79119.0,1983-02-09
DIGITAL COMMUNICATIONS,30075.0,1983-02-10
REHAB HOSPITAL SERVICE,66211.0,1983-02-10
ACCO WORLD CORPORATION,64688.0,1983-02-11
FORTUNE FEDERAL,37322.0,1983-02-15
SILICON VALLEY GROUP,70632.0,1983-02-16
TIME ENERGY SYSTEMS,76276.0,1983-02-18
URGENT CARE CENTERS,79733.0,1983-02-18
CALIBRE CORPORATION,20651.0,1983-02-23
"DIASONICS, INC.",29832.0,1983-02-23
AMERICAN SOFTWARE,13777.0,1983-02-24
DOUBLE R FAST FOOD,30606.0,1983-02-24
FIRST FEDERAL,35450.0,1983-02-24
FIRST MUTUAL,35984.0,1983-02-24
TRANS WORLD AIRLINES,64821.0,1983-02-24
VIDEO CONNECTION,80734.0,1983-02-24
VLSI TECHNOLOGY,79848.0,1983-02-24
AMERICA WEST AIR,12424.0,1983-02-25
AUTOMATIX INCORPORATED,15932.0,1983-03-01
BURNHAM SERVICE,19853.0,1983-03-01
XEBEC,83759.0,1983-03-01
"THE MPSI GROUP, INC.",50543.0,1983-03-02
APOLLO COMPUTER,14614.0,1983-03-03
FORTUNE SYSTEMS,37357.0,1983-03-04
INFORMATION RESOURCES,44194.0,1983-03-04
NEW HAMPSHIRE SAVINGS,57323.0,1983-03-04
INT'L LEASE FINANCE,45197.0,1983-03-09
CONTINENTAL FEDERAL,26826.0,1983-03-10
"FLOW SYSTEMS, INC.",37058.0,1983-03-10
WASHINGTON MUTUAL,81593.0,1983-03-11
PENTA SYSTEMS,62026.0,1983-03-15
TELEVIDEO SYSTEMS,75345.0,1983-03-15
BR COMMUNICATIONS,16300.0,1983-03-16
DST SYSTEMS,28266.0,1983-03-16
SCAN-TRON CORP.,69041.0,1983-03-16
SOVEREIGN THOROBRED.,71862.0,1983-03-16
COM VU CORPORATION,24927.0,1983-03-17
MAXWELL LABORATORIES,51960.0,1983-03-18
"BIOGEN, N.V.",11983.0,1983-03-22
SCI. SYSTEMS SERVICE,69359.0,1983-03-22
"SENTRY DATA, INC.",70000.0,1983-03-22
TELECRAFTER CORP.,75110.0,1983-03-22
INTEGRATED SOFTWARE,44397.0,1983-03-23
VICTOR TECHNOLOGIES,80689.0,1983-03-23
BURR-BROWN CORPORATION,19888.0,1983-03-24
"FARM FRESH, INC.",34332.0,1983-03-25
MASSTOR SYSTEMS,51845.0,1983-03-25
BIOTECHNICA INT'L.,18287.0,1983-03-28
WINCOM CORPORATION,83118.0,1983-03-28
CALIFORNIA FEDERAL,66456.0,1983-03-29
FIRST FINANCIAL MGMT.,35706.0,1983-03-29
HOME FEDERAL OF TUCSON,42316.0,1983-03-29
PUBLISHERS EQUIPMENT,64654.0,1983-03-29
HOME FED. SAN DIEGO,66202.0,1983-03-30
CAMBRIDGE BIOSCIENCE,20918.0,1983-03-31
MOBILE COMMUNICATIONS,54616.0,1983-03-31
DATRICON CORP.,28936.0,1983-04-04
DEVON STORES,29648.0,1983-04-05
INTERNATIONAL SAVINGS,45402.0,1983-04-05
DEB SHOPS,29111.0,1983-04-06
BFI COMMUNICATIONS,16177.0,1983-04-07
COMMONWEALTH FED. S&L,65891.0,1983-04-07
QUANTECH ELECTRONICS,65059.0,1983-04-07
GULFSTREAM AEROSPACE,64960.0,1983-04-08
CONTINENTAL AIRLINES,64928.0,1983-04-11
COLLINS INDUSTRIES,24572.0,1983-04-12
RAUCH INDUSTRIES,65761.0,1983-04-12
HYTEK MICROSYSTEMS,43167.0,1983-04-13
VALLEY FEDERAL S&L,80056.0,1983-04-13
INTERFACE FLOORING,44768.0,1983-04-14
"IGC, INC.",43239.0,1983-04-19
COMBINED NETWORK,85033.0,1983-04-20
INTEGRATED CIRCUITS,44389.0,1983-04-21
REGIS CORPORATION,66174.0,1983-04-26
"TELECI, INC.",75054.0,1983-04-26
TRAK AUTO CORP.,76743.0,1983-04-26
CLINICAL DATA,24097.0,1983-04-27
E&B MARINE,31150.0,1983-04-27
"TELERATE, INC.",65090.0,1983-04-27
