PERMNO,date,RET,sprtrn
10002,1995-08-31,0.000000,-0.00032
10002,1995-09-29,0.121538,0.040098
10002,1995-10-31,-0.137931,-0.004979
10002,1995-11-30,0.070000,0.041049
10002,1995-12-29,0.052710,0.017444
10002,1996-01-31,-0.035714,0.032617
10002,1996-02-29,0.027778,0.006934
10002,1996-03-29,0.052252,0.007917
10002,1996-04-30,-0.043103,0.013431
10002,1996-05-31,0.000000,0.022853
10002,1996-06-28,0.007207,0.002257
10002,1996-07-31,-0.031532,-0.045748
10002,1996-08-30,0.004651,0.018814
10002,1996-09-30,0.016667,0.054173
10002,1996-10-31,-0.018349,0.026131
10002,1996-11-29,0.000000,0.073376
10002,1996-12-31,-0.020561,-0.021505
10002,1997-01-31,0.000000,0.061317
10002,1997-02-28,0.019231,0.005928
10002,1997-03-31,0.139623,-0.042614
10002,1997-04-30,-0.075000,0.058406
10002,1997-05-30,0.155963,0.058577
10002,1997-06-30,0.038095,0.043453
10002,1997-07-31,0.092308,0.078123
10002,1997-08-29,0.070423,-0.057446
10002,1997-09-30,0.097895,0.053154
10002,1997-10-31,0.018072,-0.034478
10002,1997-11-28,0.035503,0.044587
10002,1997-12-31,0.125029,0.015732
10002,1998-01-30,0.020408,0.01015
10002,1998-02-27,0.060000,0.070449
10002,1998-03-31,-0.019434,0.049946
10002,1998-04-30,-0.053140,0.009076
10002,1998-05-29,0.122449,-0.018826
10002,1998-06-30,0.095545,0.039438
10002,1998-07-31,-0.012500,-0.011615
10002,1998-08-31,-0.164557,-0.145797
10002,1998-09-30,-0.010000,0.062396
10002,1998-10-30,-0.076923,0.080294
10002,1998-11-30,0.016667,0.059126
10002,1998-12-31,0.005574,0.056375
10002,1999-01-29,0.016393,0.041009
10002,1999-02-26,-0.096774,-0.032283
10002,1999-03-31,-0.011786,0.038794
10002,1999-04-30,-0.054545,0.037944
10002,1999-05-28,0.014423,-0.02497
10002,1999-06-30,0.025782,0.054438
10002,1999-07-30,0.041860,-0.032046
10002,1999-08-31,-0.071429,-0.006254
10002,1999-09-30,0.153558,-0.028552
10002,1999-10-29,-0.111111,0.062539
10002,1999-11-30,0.056604,0.019062
10002,1999-12-31,-0.123036,0.057844
10002,2000-01-31,-0.025641,-0.050904
10002,2000-02-29,-0.163158,-0.020108
10002,2000-03-31,0.028931,0.09672
10002,2000-04-28,0.012346,-0.030796
10002,2000-05-31,-0.024390,-0.021915
10002,2000-06-30,0.041250,0.023934
10002,2000-07-31,-0.012121,-0.016341
10002,2000-08-31,-0.018405,0.060699
10002,2000-09-29,-0.252500,-0.053483
10002,2000-10-31,0.169492,-0.004949
10002,2000-11-30,0.018116,-0.080069
10002,2000-12-29,0.057651,0.004053
10002,2001-01-31,0.088435,0.034637
10002,2001-02-28,0.062500,-0.092291
10002,2001-03-30,0.422118,-0.064205
10002,2001-04-30,-0.241333,0.076814
10002,2001-05-31,-0.033392,0.00509
10002,2001-06-29,0.037273,-0.025004
10002,2001-07-31,-0.036283,-0.010772
10002,2001-08-31,-0.049587,-0.064108
10002,2001-09-28,-0.047343,-0.081723
10002,2001-10-31,-0.031795,0.018099
10002,2001-11-30,0.059322,0.075176
10002,2001-12-31,0.000000,0.007574
