Company,Permno,IpoDate
PYRO-MAGNETICS,64849.0,1980-01-30
PASSPORT TRAVEL,61400.0,1980-02-13
BLOCKER ENERGY,62519.0,1980-02-28
ANTHEM ELECTRONICS,64397.0,1980-03-04
CADO SYSTEMS,20590.0,1980-03-11
SILTEC,70667.0,1980-03-11
DIMIS,30091.0,1980-03-13
RADIOGRAPHIC,65489.0,1980-03-13
GEOKINETICS,38790.0,1980-04-30
EMPIRE AIRLINES,32425.0,1980-05-08
CORCOM,27239.0,1980-05-20
SCI-TEX,78361.0,1980-05-20
Gulf Canada Ltd,32491.0,1980-05-21
UP-RIGHT,79696.0,1980-05-21
NITRON,78330.0,1980-05-29
ENZO BIOCHEM,33209.0,1980-06-12
INT'L CAP'L EQUIP,78303.0,1980-06-12
BROCK HOTEL,63482.0,1980-06-17
PARAHO DEVELOPMENT,61210.0,1980-06-17
ANDREW,14323.0,1980-06-19
GENERAL NUTRITION,62244.0,1980-06-19
TECHNODYNE,66106.0,1980-06-19
MAGNUSON COMPUTER,50981.0,1980-06-25
GOODY PRODUCTS,39432.0,1980-07-02
TYLAN,77682.0,1980-07-09
GENERAL DEFENSE,63183.0,1980-07-11
TELLABS,75257.0,1980-07-15
OPTIMUM HOLDING,59847.0,1980-07-16
APPLICON,14673.0,1980-07-22
AMERICAN GASAHOL,41874.0,1980-07-23
ADVANCED SYSTEMS,65840.0,1980-07-24
GAMMA BIOLOGICALS,38157.0,1980-07-31
MONOLITHIC MEMORIES,55053.0,1980-08-06
SERVICE FRACTURING,70114.0,1980-08-12
BANCTEC,16564.0,1980-08-20
SYSTEM INDUSTRIES,74123.0,1980-09-05
ISC SYSTEMS,43407.0,1980-09-16
MID PACIFIC AIRLINES,53824.0,1980-09-16
SAT TEL ASSOC RESOURCES,68930.0,1980-09-18
OXYGEN ENRICHMENT,60258.0,1980-09-23
EAGLE EXPLORATION,31369.0,1980-09-24
INT'L POWER MACHINES,62631.0,1980-09-25
TACOMA BOATBLDG,62439.0,1980-09-30
BDM INTERNATIONAL,63896.0,1980-10-03
AM CABLE TV,10314.0,1980-10-07
TEAM,65752.0,1980-10-07
KLA INSTRUMENTS,46886.0,1980-10-08
GENENTECH,38280.0,1980-10-14
YANKEE OIL,63079.0,1980-10-15
XICOR,83863.0,1980-10-28
AMERICAN METALS,13390.0,1980-10-29
NETWORK SYSTEMS,57155.0,1980-11-03
HEALTH INFORMATION,41340.0,1980-11-06
PEOPLE EXPRESS,62069.0,1980-11-06
AMPECO,63431.0,1980-11-12
STEIGER TRACTOR,72849.0,1980-11-13
SECURITY AMERICA,69738.0,1980-11-20
ADVEST,64514.0,1980-11-21
SAXON OIL,68997.0,1980-11-26
MOVIE SYSTEMS,55424.0,1980-12-02
NIKE,57665.0,1980-12-02
SEA GALLEY,69543.0,1980-12-02
DRECO ENERGY,62535.0,1980-12-03
K-TRON,46931.0,1980-12-03
MIDWAY AIRLINES,53939.0,1980-12-04
